,店名,ジャンル,住所,電話番号,予算目安(下代),予算目安(上代),定休日,営業時間,店のリンク,最寄駅
660,"

大衆酒場　匠

","
居酒屋、海鮮、鍋
","
東京都江東区東陽4-6-16 永山ビル　1F・2F






","

050-5590-1366

","￥3,000","￥3,999","
日曜・祝日
","

[月～金]11：30～14：00(LO13：30)17：00～23：00(LO22：00)[土]16:00～23：00 (LO22：00)
",https://tabelog.com/tokyo/A1313/A131303/13167305/,東陽町駅
661,"

東京へぎそば 匠 四谷三丁目店（たくみ）
            
","
居酒屋、そば、海鮮
","
東京都新宿区四谷3-13 水喜ビル　Ｂ１Ｆ






","

050-5869-0606

","￥4,000","￥4,999","
日曜・祝日定休
","

[月～金] 17:30～翌4:00（LO：翌3:00）［土］17:30～23:00（LO:22:00）
",https://tabelog.com/tokyo/A1309/A130903/13006255/,四谷三丁目駅
662,"

うゆう

","
居酒屋、日本料理、海鮮
","
東京都渋谷区渋谷3-17-5 鈴屋ビル 2F






","

050-5589-3556

","￥5,000","￥5,999","
2023年より無休
","

17:30~24:00（L.O23:00）団体様、貸切等別途ご相談ください。
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13270586/,渋谷駅
663,"

土佐料理 祢保希 新宿店（ねぼけ）
            
","
日本料理、海鮮、しゃぶしゃぶ
","
東京都新宿区西新宿1-26-2 新宿野村ビル 49・50F






","

050-5868-7408

","￥6,000","￥7,999","
年中無休　　※2月・8月・年末年始除く  
","

【月～金】 11:30～14:30（L.O.14:00）                17:00～22:00 (L.O.21:00)【土日・祝日】 11:30～15:00（L.O.14:00）                      17:00～21:00 (L.O.20:00)
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13000770/,西新宿駅
664,"

Bon Voyage,（ボン ボヤージュ）
            
","
ビストロ、イタリアン、フレンチ
","
東京都渋谷区恵比寿2-8-13 accessBLD恵比寿 1F






","

050-5589-5721

","￥6,000","￥7,999","
日曜日、月曜日
","

17:30-23:00 (L.O.22:30)
",https://tabelog.com/tokyo/A1303/A130302/13273558/,恵比寿駅
665,"

七輪焼肉 安安 新小岩店

","
焼肉、居酒屋、ホルモン
","
東京都葛飾区新小岩1-42-4 明治屋ビル 2Ｆ






","

050-5457-1630

","￥2,000","￥2,999","
無休
","

月～木・日祝17時～23時　金土祝前17時～28時30分※1月16日～全日17時～28時30分
日曜営業
",https://tabelog.com/tokyo/A1312/A131204/13060007/,新小岩駅
666,"

厳選A5黒毛和牛×焼肉食べ放題 令火 池袋本店

","
焼肉、居酒屋、韓国料理
","
東京都豊島区池袋1-7-12 Ｃ＆Ｔビル 1Ｆ






","

050-5597-6547

","￥2,000","￥2,999","
不定休
","

[ランチ]11:00～15:00（L.O.14:30）[ディナー]17:00～24:00（L.O.23:30）
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13236559/,池袋駅
667,"

バル リフレイン（bar Refrain）
            
","
バル、スペイン料理、ワインバー
","
東京都新宿区新宿3-7-5 






","

050-5869-9421

","￥4,000","￥4,999","
不定休
","

【月曜日〜木曜日】18:00～24:00【金・土・祝前日】18:00～26:00
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13266501/,新宿三丁目駅
668,"

酒・蕎麦 矢来山房

","
そば、居酒屋、日本酒バー
","
東京都新宿区矢来町26 






","

050-5589-2377

","￥3,000","￥3,999","
日曜、月曜、祝日
","

[火曜～土曜]16:00～20:30(最終注文20:00)
",https://tabelog.com/tokyo/A1309/A130905/13271994/,神楽坂駅
669,"

ブラッセルズビアプロジェクト新宿

","
バル、ステーキ、イタリアン
","
東京都渋谷区代々木2-20-16 






","

050-5570-4649

","￥3,000","￥3,999","
火曜日　※月曜祝日の場合は、水曜日が休業となります。
","

[月・水・木・金]  17:00～23:00 〈L.O 22:30〉[土日祝]11:30～23:00〈L.O 22:30〉感染対策を講じたうえで通常営業をしております、入店時の消毒、検温にご協力いただき、感染拡大防止のご協力にお願いいたします。お守りいただけない場合、退店をお願いする場合もございます。
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13004349/,南新宿駅
670,"

焼肉 成（NARI）
            
","
焼肉、居酒屋、ホルモン
","
東京都東久留米市新川町1-3-6 セイジュプレイス 202






","

050-5597-6546

","￥5,000","￥5,999","
※週末は予約必須。(平日がおすすめです。)
","

ランチ[月〜金]11:30〜14:30(L.O…14:00)  土.日.祝日はランチは営業しません。ディナー［月～土］17：00～23:00（料理L.O…22:15、ドリンクL.O…22:30）ディナー［日・祝］17：00～22：30（料理L.O…22:00、ドリンクL.O…22：00）
日曜営業
",https://tabelog.com/tokyo/A1328/A132802/13236547/,東久留米駅
671,"

Bar W（バー ダブリュー）
            
","
バー
","
東京都文京区湯島3-35-11 SN湯島ビル 2F






","

050-5456-7151

","￥4,000","￥4,999","
日曜日、祝日
","

[月～土] 19:00〜28:00  L.O27:30
",https://tabelog.com/tokyo/A1311/A131101/13243810/,湯島駅
672,"

炭火焼 れん 目黒

","
焼き鳥、肉料理、居酒屋
","
東京都目黒区目黒1-5-4 テルレ 201






","

050-5872-6145

","￥6,000","￥7,999","
月曜日（祝日の場合は火曜）
","

火～土曜17：00～23：00日、祝日16：00～21：00※土曜・日曜日、はオープン前でも貸切ご要望の際は電話にてお受けいたします。
日曜営業
",https://tabelog.com/tokyo/A1316/A131601/13256113/,目黒駅
673,"

HohokamDINER（ホホカムダイナー）
            
","
ハンバーガー、ダイニングバー、カフェ
","
東京都渋谷区神宮前1-14-21 バルビゾン80 1F






","

050-5600-1946

",,,"
年末年始
","

11:00～20:00(L.O)
",https://tabelog.com/tokyo/A1306/A130601/13281700/,明治神宮前駅
674,"

牛三

","
焼肉、ホルモン、居酒屋
","
東京都板橋区板橋1-25-1 クレール02-101






","

050-5868-7631

","￥5,000","￥5,999","
年中無休
","

17:00～23:00［L.O.22時00分］
日曜営業
",https://tabelog.com/tokyo/A1322/A132201/13118121/,下板橋駅
675,"

大漁（【旧店名】山海楼 東上野支店）
            
","
中華料理、火鍋、居酒屋
","
東京都台東区東上野2-12-9 福星ビル 1F・2Ｆ






","

050-5589-3737

","￥3,000","￥3,999","
日曜日
","

ランチ　11:00～15:00ディナー　17:00～23:00（L.O.22:30、ドリンクL.O.22:30）
",https://tabelog.com/tokyo/A1311/A131101/13191141/,仲御徒町駅
676,"

わらやき屋 田町

","
居酒屋、海鮮、郷土料理
","
東京都港区芝5-26-20 建築会館 1F






","

050-5890-1608

","￥4,000","￥4,999","
日曜日　
","

【ランチ】月～金　11:30～14:00（L.O.13:30）【ディナー】月～金　17:00～23:00（L.O.22:00）土　      17:00～23:00（L.O.22:00）※新型コロナウイルス感染拡大防止等の観点から、状況により営業日・を変更する場合がございます。
",https://tabelog.com/tokyo/A1314/A131402/13138334/,三田駅
677,"

世田谷焼肉 bon（Setagaya Yakiniku bon）
            
","
焼肉、ホルモン、牛タン
","
東京都世田谷区奥沢8-13-10 1F・B1F






","

050-5571-3085

","￥6,000","￥7,999","
月曜日　
","

Lunch 平日12:00〜15:00           土日12:00〜14:00Dinner火〜土17:00〜23:00           日17:00〜22:00、営業日は変更になる場合があります。お気軽に店舗にお問い合わせください。
日曜営業
",https://tabelog.com/tokyo/A1317/A131715/13235642/,九品仏駅
678,"

Green Green（グリーン グリーン）
            
","
韓国料理、焼肉
","
東京都武蔵野市吉祥寺南町1-4-1 井の頭ビル 2F






","

050-5590-5494

","￥3,000","￥3,999","
12.31 , 1.1
","

[月～金]11:30~15:00/17:00~23:00[土•日•祝] 11:30~23:00(L.Oは30分前)
日曜営業
",https://tabelog.com/tokyo/A1320/A132001/13278186/,吉祥寺駅
679,"

モツ兵衛 御徒町店

","
居酒屋、馬肉料理、もつ鍋
","
東京都台東区上野5-15-15 






","

050-5593-6597

","￥3,000","￥3,999","
年末年始
","

【平日】ランチ  11:00～14:00 ディナー17:00〜22:30【土、日、祝】ディナー17:00〜22:00
日曜営業
",https://tabelog.com/tokyo/A1311/A131101/13050060/,仲御徒町駅
680,"

厳選焼鳥 一石三鳥 本店

","
焼き鳥、日本料理、居酒屋
","
東京都港区新橋4-20-2 






","

050-5457-2944

","￥6,000","￥7,999","
不定休（臨時休業させていただく場合がございます)
","

17:00～23:00（焼鳥L.O.21:30・食事L.O.22:00・ドリンクL.O.22:30）
",https://tabelog.com/tokyo/A1301/A130103/13250787/,汐留駅
681,"

南翔饅頭店 六本木ヒルズ店（ナンショウマントウテン）
            
","



中国料理 百名店 2021 選出店




食べログ 中国料理 TOKYO 百名店 2021 選出店



","
予約可
※※ランチタイムのご予約は承っておりません※※※※土日祝日、終日ご予約は承っておりません※※　　　　平日ディナータイムのみ予約可能
","
中華料理、飲茶・点心
",,,,"
東京メトロ日比谷線、都営大江戸線 六本木駅下車徒歩1分
六本木駅から257m
",https://tabelog.com/tokyo/A1307/A130701/13004433/,六本木駅
682,"

しんばし初藤（はつふじ）
            
","
居酒屋、海鮮、日本料理
","
東京都港区新橋2-16-1 ニュー新橋ビル 2F






","

050-5595-6090

","￥4,000","￥4,999","
日曜日　　12/31～2023年1/3 、1/7〜1/9","

【月～金】11：00～23：00 (フードL.O.22：15）　　　　　　　　（ドリンクL.O.22：30）【土】11：00～22：00（フードL.O.21：15)            　　　　　(ドリンクL.O.21：30）お一人様一品以上のご注文お願い致します。混雑状況により2時間でのお席の、ご予約になります。
",https://tabelog.com/tokyo/A1301/A130103/13022892/,新橋駅
683,"

Cucina del NABUCCO（クッチーナ デル ナブッコ）
            
","
イタリアン、パスタ、ワインバー
","
東京都中央区銀座2-4-12  ミキモトギンザ2 7F






","

03-6631-1117

","￥4,000","￥4,999","
無し
","

月～金　11:30～15:00　17:30～22:00土、日、祝日　11:00～22:00
日曜営業
",https://tabelog.com/tokyo/A1301/A130101/13195126/,銀座一丁目駅
684,"

fours

","
バル、ビストロ
","
東京都目黒区目黒1-4-11 NTビル B1F






","

050-5596-2510

","￥6,000","￥7,999","
月曜日
","

【火〜日】　17:00〜23:00月に1,2度火曜休みあります。
日曜営業
",https://tabelog.com/tokyo/A1316/A131601/13226293/,目黒駅
685,"

お好み焼き もんじゃ焼き なかしょう（【旧店名】お好み焼き 鉄板焼き なかしょう）
            
","
お好み焼き、もんじゃ焼き、居酒屋
","
東京都新宿区新宿3-7-5 第一シグマビル 3～4F






","

050-5890-4749

","￥2,000","￥2,999","
なし
","

16:30～翌0:00（食事23：00L.O.　Drink23：30L.O.）
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13255557/,新宿三丁目駅
686,"

茂竹（もちく）
            
","



天ぷら 百名店 2022 選出店




食べログ 天ぷら 百名店 2022 選出店



","
予約可
当日ご予約ご希望の方は、店舗へお問い合わせください。御注文されないお客様に関しましては、チャージ料¥3,000頂戴致します。（乳幼児含む）テイクアウト販売は致しておりません。店主の子供がいる日もございますので、お電話にてお問い合わせくださいますよう、よろしくお願いいたします。
","
天ぷら、天丼、日本料理
",,,,"
数寄屋橋交差点から外堀通りを新橋方面に向かい、徒歩2～3分。左手のビルの2F。
銀座駅から198m
",https://tabelog.com/tokyo/A1301/A130101/13007760/,銀座駅
687,"

2000円 食べ飲み放題 肉ときどきレモンサワー。 町田駅前店

","
居酒屋
","
東京都町田市原町田6-10-17 荻原ビル 4F






","

050-5890-0857

","￥2,000","￥2,999","
無
","

［全日］16:00～23:30(Food L.O.22:30/Drink L.O.23:00)※予告なく変更･休業となる場合がございます。予めご了承ください。
日曜営業
",https://tabelog.com/tokyo/A1327/A132701/13269924/,町田駅
688,"

大井町銭場精肉店

","
焼肉、ハンバーグ、ステーキ
","
東京都品川区東大井5-14-19 ISOLA大井町2F






","

050-5868-7645

","￥5,000","￥5,999","
","

月～日ランチ　11:30～15:00（L.O.14:30）ディナー　17:00～23:00（L.O.22:30）
日曜営業
",https://tabelog.com/tokyo/A1315/A131501/13125061/,大井町駅
689,"

Noodle House Laundry（ヌードルハウス ランドリー）
            
","
居酒屋、アジア・エスニック、ラーメン
","
東京都千代田区丸の内1-9-1 東京駅 グランスタ B1F






","

050-5589-5680

","￥3,000","￥3,999","[1/2-3] 　  11:00～23:00
","

[月～日]11:00～23:00▲年末年始の▲[12/29-31] 11:00～23:00[1/1] 　　  ",https://tabelog.com/tokyo/A1302/A130201/13270970/,東京駅
690,"

肉バル Bar&Grill motto 池袋（肉バル バー&グリル motto）
            
","
肉バル、ダイニングバー、ステーキ
","
東京都豊島区東池袋1-39-20 慶太ビル 2F






","

050-5589-7296

","￥3,000","￥3,999","
不定休
","

■■ランチのご予約はお電話もしくは公式HPから承っております■■11:30～14:30(LO 14:00)17:00～23:00(LO 22:15)
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13179269/,池袋駅
691,"

寿司居酒屋 番屋 銀座店（【旧店名】寿司居酒屋 銀座まるし）
            
","
居酒屋、寿司、海鮮
","
東京都中央区銀座7-3-13 ニューギンザビル B1F






","

050-5589-7387

","￥5,000","￥5,999","
【日曜日・祝日】
","

[月～金]17:00～23:00　LO22:00[土]17:00～22:00　LO21:00詳しくは店舗へお問い合わせください。（TEL　営業日11:00-CLOSE）
",https://tabelog.com/tokyo/A1301/A130101/13187100/,内幸町駅
692,"

くらふと

","
居酒屋、鳥料理、食堂
","
東京都江東区有明3-7-2 2F






","

050-5357-5353

","￥2,000","￥2,999","
日曜日
","

【月～土・祝】11:30～14:00(L.O13:30)16:00～22:00(L.O21:30 ※Food21:00)
",https://tabelog.com/tokyo/A1313/A131306/13265658/,国際展示場駅
693,"

味さと（みさと）
            
","
居酒屋、海鮮、日本酒バー
","
東京都千代田区九段北1-11-12 






","

050-5869-3706

","￥4,000","￥4,999","
日曜祭日
","

［月～金］11:30～13:30／17:00～23:00（L.O22:30. D22:50）［土］17:00～21:00（L.O20:30）ご予約はご相談ください。
",https://tabelog.com/tokyo/A1309/A130906/13032613/,九段下駅
694,"

ワインの酒場。ディプント 蒲田店（Di PUNTO）
            
","
バル、居酒屋、イタリアン
","
東京都大田区蒲田5-11-8 千代ビル B1F






","

050-5589-7293

","￥2,000","￥2,999","
年中無休
","

【月～木】17:00～翌3:00【金・土・祝前日】17:00～翌4:30【日・祝日】17:00~23:00については、お気軽にお問合せ下さい。
日曜営業
",https://tabelog.com/tokyo/A1315/A131503/13178111/,蒲田駅
695,"

豚工房 どんぐり

","
しゃぶしゃぶ、鍋、スペイン料理
","
東京都目黒区自由が丘1-3-19 






","

050-5570-7047

","￥4,000","￥4,999","
月曜日　年末年始　【オンライン予約できます】　テレビ付き個室あり！旬の食材とイベリコ豚を使用した当日のオススメ料理をお楽しみください♪
","

『火曜日～土曜日』17：00～23：00（フードL.O.22：00 ドリンクL.O 22:30）『日曜、祝日』17：00〜23：00.  (フードL.O.22:00   ドリンクL.O 22:30）
日曜営業
",https://tabelog.com/tokyo/A1317/A131703/13111688/,自由が丘駅
696,"

ビストロ酒場 AGARE（アガレ）
            
","
ビストロ、鍋、居酒屋
","
東京都世田谷区太子堂2-18-3 






","

050-5869-8636

","￥2,000","￥2,999","
日曜日
","

[月～土]17:00～24:00（LOフード23：00ドリンク23：30）屋上テラス席は終日22時ラストオーダー、23時閉店とさせて頂きます。時間外のご予約はお電話で承りしております。11月20日からしばらくの間、日曜日休みとさせて頂きます。
",https://tabelog.com/tokyo/A1317/A131706/13266663/,三軒茶屋駅
697,"

刀削麺・火鍋・西安料理 XI'AN 新宿西口店（シーアン）
            
","
中華料理、居酒屋、ラーメン
","
東京都新宿区西新宿1-12-5 三平西口ビル　４Ｆ






","

050-5570-3341

","￥3,000","￥3,999","
無休（年末年始休暇あり）
","

[月～金]ランチ　11:30～15:00（L.O. 14:30）ディナー17:30～23:00             （L.O. フード 22:00　ドリンク 22:30）[土・日・祝]ランチ　11:30～15:30（L.O. 15:00）ディナー17:00～23:00           （L.O. フード 22:00　ドリンク 22:30）
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13019323/,新宿駅
698,"

やきとん酒場 新橋とら八

","
居酒屋、もつ焼き、焼き鳥
","
東京都港区新橋3-25-6 






","

050-5869-3827

","￥2,000","￥2,999","
年末年始
","

【平日・土曜】16:00－23:30【日曜・祝日】16:00－23:00年中無休
日曜営業
",https://tabelog.com/tokyo/A1301/A130103/13060860/,新橋駅
699,"

KICHIRI 秋葉原（きちり）
            
","
居酒屋、イタリアン、ダイニングバー
","
東京都千代田区神田佐久間町1-13 チョムチョム秋葉原 3F






","

03-3254-8878

","￥4,000","￥4,999","
無休
","

【月〜金、土日】17:00～23:00（L.O.:22:00)
日曜営業
",https://tabelog.com/tokyo/A1310/A131001/13052355/,秋葉原駅
700,"

PIZZERIA & BAR NOHGA（ピッツェリアアンドバーノーガ）
            
","
イタリアン、ピザ、バル
","
東京都千代田区外神田3-10-11 NOHGAHOTEL AKIHABARA TOKYO 1F






","

050-5597-9445

","￥5,000","￥5,999","
ホテルに準ずる
","

MORNING　7:00～9:30(L.O.)　LUNCH　11:30〜15:00(L.O.)CAFE　　14:30〜18:00DINNER　18:00〜22:00(L.O.) 23:00(Close)※日曜日・祝日は21:00(L.O.)22:00(Close)  祝前日は22:00(L.O.) 23:00(Close)
日曜営業
",https://tabelog.com/tokyo/A1311/A131101/13248479/,末広町駅
701,"

ステーキのどん 秋川店

","
ステーキ、ハンバーグ、ファミレス
","
東京都あきる野市秋川4-16-1 






","

050-5589-9428

","￥1,000","￥1,999","
年中無休
","

◆月～木　11：00-22：30（ﾗｽﾄｵｰﾀﾞｰ　22：00）◆土・日　10：00-22：30（ﾗｽﾄｵｰﾀﾞｰ　22：00）
日曜営業
",https://tabelog.com/tokyo/A1330/A133001/13048926/,秋川駅
702,"

リストランテ チョッコ（ristorante ciòcco）
            
","
イタリアン、ステーキ、バル
","
東京都世田谷区太子堂4-18-1 エコービル 3F






","

050-5570-5609

","￥10,000","￥14,999","
不定休
","

17:00～24:00
日曜営業
",https://tabelog.com/tokyo/A1317/A131706/13245063/,三軒茶屋駅
703,"

鶏豚きっちん 渋谷店

","
焼き鳥、もつ鍋、居酒屋
","
東京都渋谷区宇田川町34-6 M&Iビル 2F






","

050-5600-0832

","￥3,000","￥3,999","
年中無休
","

【月～土，祝，祝前】17:00～24:00L.O.23:00ドリンクL.O.23:00【日】15:00〜24:00ドリンクL.O23:00※打ち上げ等、人数によってはの変更も致します。
日曜営業
",https://tabelog.com/tokyo/A1303/A130301/13280462/,神泉駅
704,"

ディップマハル 溜池山王店（Dipmahal）
            
","
インド料理、インドカレー、アジア・エスニック
","
東京都港区赤坂1-5-13 祥文堂ビル1F・2F






","

050-5590-2102

","￥2,000","￥2,999","
無休
","

ランチ:11:00〜16:30ディナー:16:30〜23:00 (LO.22:30)
日曜営業
",https://tabelog.com/tokyo/A1308/A130802/13125551/,溜池山王駅
705,"

タンテ グラッツィェ（Tante Gｒazie）
            
","
イタリアン、パスタ、ワインバー
","
東京都豊島区西池袋5-3-2 フラットウェル西池袋 1F～4F






","

050-5570-4782

","￥5,000","￥5,999","
月曜日  （祝日の場合、火曜日に変更することがございます。）
","

【火～日・祝】 ディナー 17:00～22:00(L.O.21:00)【土・日・祝】 ランチ 　11:30～14:30 (L.O.14:00)【火～金】 　　ランチ　 11:30～14:30 (L.O.14:00)
日曜営業
",https://tabelog.com/tokyo/A1305/A130501/13162206/,池袋駅
706,"

東京八重洲最大級レモンサワー専門店 八重洲商店 東京駅前店

","
居酒屋
","
東京都中央区日本橋3-3-4 1F






","

050-5589-9870

","￥3,000","￥3,999","
年中無休
","

16:00～翌4:00（日曜日・祝日は23:30まで）12:00〜16:00ご利用のお客様は事前にご連絡くださいませ。
日曜営業
",https://tabelog.com/tokyo/A1302/A130201/13275496/,日本橋駅
707,"

円居 恵比寿店（マドイ）
            
","
鉄板焼き、ダイニングバー、ステーキ
","
東京都渋谷区広尾1-7-17 グリーンキャピタル広尾 1F






","

050-5589-3507

","￥10,000","￥14,999","
３月のお休み ６日　７日　１４日　２２日　２７日
","

17:00～22:00（L.O.21:30）
日曜営業
",https://tabelog.com/tokyo/A1303/A130302/13266822/,恵比寿駅
708,"

サルサカバナ 中野店（SALSA CABANA）
            
","
メキシコ料理、バル、居酒屋
","
東京都中野区中野5-47-3 おかだビル １Ｆ






","

050-5571-3723

","￥2,000","￥2,999","
日曜日、3/27（月）
","

月〜土・祝：17:00〜24:00（LO23:00）
",https://tabelog.com/tokyo/A1319/A131902/13177744/,中野駅
709,"

ASIAN MEAT & GRILL 品川店

","
バル、居酒屋、シュラスコ
","
東京都港区港南2-16-3 品川グランドセントラルタワーグランパサージュ B1F






","

050-5872-8114

","￥4,000","￥4,999","
なし（年末年始のみ）
","

11:00～23:00（L.O.22:30）品川駅より港南口方向の連絡通路を進み、港南口右手のスカイウェイを経由して「グランパサージュ」の地下へ。マップ5番「コヒヌール」の店舗名で看板が出ています。
日曜営業
",https://tabelog.com/tokyo/A1314/A131403/13257110/,品川駅
710,"

大塚のれん街 ニクビストロ ENZO BYO

","
バル、居酒屋、肉バル
","
東京都豊島区北大塚2-28-4 






","

050-5457-2394

","￥3,000","￥3,999","
日・祝日
","

2/11(土)建国記念の日　営業します！2/6(月)2/13(月) 臨時休業です。よろしくお願いします！17：00～24：00(L.O.23：30)
",https://tabelog.com/tokyo/A1323/A132302/13241507/,大塚駅前駅
711,"

kawara CAFE＆DINING 銀座店（カワラ カフェアンドダイニング）
            
","
ダイニングバー、居酒屋、カフェ
","
東京都中央区銀座西3-1 銀座インズ1 2Ｆ






","

050-5869-5620

","￥3,000","￥3,999","
銀座インズに準ずる。
","

火～土・祝前　11：30～22：30【LO21：30】日・月・祝　　11：30～22：00【LO21：00】
日曜営業
",https://tabelog.com/tokyo/A1301/A130101/13095828/,有楽町駅
712,"

D'ORO（ドーロ）
            
","
イタリアン、ビストロ、フレンチ
","
東京都目黒区中根2-13-20 レオナ都立大 1F






","

050-5872-6428

","￥6,000","￥7,999","
水曜日＋不定休
","

[月・火・木・金・土・日] 11:30～15:00(L.O14:00) 17:30～23:00(L.O22:00)
日曜営業
",https://tabelog.com/tokyo/A1317/A131702/13147804/,都立大学駅
713,"

ほぼ上野 オスシマチ

","
寿司、居酒屋、海鮮
","
東京都台東区上野3-21-7 福寿ビル 1F






","

050-5590-4684

","￥3,000","￥3,999","
","

[月～金]15:30～翌04:30[土]12:00～翌04:30[日・祝]12:00～23:00
日曜営業
",https://tabelog.com/tokyo/A1311/A131101/13278880/,御徒町駅
714,"

麹蔵 秋葉原店

","
居酒屋、しゃぶしゃぶ、沖縄料理
","
東京都千代田区神田佐久間町1-8-3 ダイハツ秋葉原ビル　2F






","

050-5869-0799

","￥4,000","￥4,999","
テラス席営業(3月～10月)年末年始(12/31～1/3)
","

ランチ [月～金・祝前] 11:30～14:30(L.O.14:00) [土・日・祝] 11:30～16:30(L.O.16:30) ディナー [月～金・祝前] 17:00～23:00(L.O.22:00) [土] 16:30～23:00(L.O.22:00) [日・祝] 16:30～22:00(L.O.21:00) ＊状況により閉店時間が早まる可能性がございます。
日曜営業
",https://tabelog.com/tokyo/A1310/A131001/13110448/,秋葉原駅
715,"

カコスキッチン（Kacos kitchen）
            
","
バル、つけ麺、イタリアン
","
東京都墨田区江東橋2-10-7 1Ｆ






","

050-5457-0338

","￥3,000","￥3,999","
日曜日
","

月～土・祝日ディナー・バー　18:00～翌3:00（L.O.2:00、ドリンクL.O.2:30）
",https://tabelog.com/tokyo/A1312/A131201/13208778/,錦糸町駅
716,"

胡椒饅頭PAOPAO（コショウマンジュウ パオパオ）
            
","
中華料理、ラーメン、居酒屋
","
東京都千代田区岩本町3-1-5 スミトー神田岩本町ビル　１Ｆ






","

050-5869-4793

","￥3,000","￥3,999","
日曜・祝日・第２土曜日
","

・ランチ 11:30～14:30(L.O.14:00) ・ディナー 17:30～22:30(L.O.22:00) 土曜日17:30〜21:00(L.O.　20:30) 
",https://tabelog.com/tokyo/A1310/A131002/13032941/,岩本町駅
717,"

ファイヤーホール4000 虎ノ門ヒルズ

","
四川料理、中華料理、火鍋
","
東京都港区虎ノ門1-17-1 虎ノ門ヒルズ ビジネスタワー 3F






","

050-5456-8744

","￥4,000","￥4,999","
日曜日
","

《 月～土 》ランチ11:30-14:30（LO 14:00）ディナー17:00-22:00（LO 21:00) ※アラカルトLO 21:30※12/25(日曜日)通常営業。※12/30〜1/4迄、休業。1/5〜通常営業。
",https://tabelog.com/tokyo/A1308/A130802/13245369/,虎ノ門ヒルズ駅
718,"

M3 Felice（エムサン フェリーチェ）
            
","
イノベーティブ、イタリアン、パスタ
","
東京都中央区銀座4-14-19 小笠原ビル 1F






","

050-5872-9846

","￥6,000","￥7,999","
日曜日
","

［月〜金］11：30～14：00(LO13：30)17：00～24：00(LO23：00)［土］11：30～14：00(LO13：30)17：00～23：00(LO22：00)※12/31～1/4までお休みいただきます。
",https://tabelog.com/tokyo/A1301/A130101/13269602/,東銀座駅
719,"

Asian Dining & Bar SITA 中目黒（アジアンダイニングバー シータ）
            
","
ダイニングバー、タイ料理、居酒屋
","
東京都目黒区上目黒1-19-2 中目黒グリーン 2F






","

050-5457-2473

","￥2,000","￥2,999","
なし
","

11：00～17：00（ランチ）17：00～23：00（ディナー）
日曜営業
",https://tabelog.com/tokyo/A1317/A131701/13250174/,中目黒駅
720,"

VIRGO 銀座（ビルゴ）
            
","
スペイン料理、イタリアン、居酒屋
","
東京都中央区銀座5-6-13 西五番街ビル B1F






","

050-5868-7657

","￥4,000","￥4,999","
不定休
","

※は予告なく変更となる場合がございます。最新の状況は直接店舗にお問い合わせ下さい。
日曜営業
",https://tabelog.com/tokyo/A1301/A130101/13128769/,銀座駅
721,"

taachi（ターチ）
            
","
沖縄料理、鍋、薬膳
","
東京都港区麻布十番1-7-7 はせべやビル　３Ｆ






","

050-5868-8427

","￥5,000","￥5,999","
日曜　※当店は、ディナーのみの営業です
","

 月〜土 ☆18:00～翌日1:00（L.O 23:30）
",https://tabelog.com/tokyo/A1307/A130702/13005333/,麻布十番駅
722,"

404 nf（ヨンマルヨン エヌエフ）
            
","
フレンチ、ビストロ、ワインバー
","
東京都新宿区西新宿1-14-3 新宿ヒカリビル 3F






","

050-5590-2188

","￥6,000","￥7,999","
不定休
","

　11:30〜23:00
日曜営業
",https://tabelog.com/tokyo/A1304/A130401/13277731/,新宿駅
723,"

鮮魚・焼き鳥 CIRCUS

","
居酒屋、海鮮、焼き鳥
","
東京都港区新橋4-18-4 十合ビル 3F






","

03-3431-5699

","￥3,000","￥3,999","
年中無休。来店の際はなるべくご予約をお願いします
","

※なるべくご予約をしてからの来店お願いします。 03-3431-5699【平日】17:00～23:00【土曜・日曜・祝日】お昼13:00～23:00まで通常営業。新橋昼飲み
日曜営業
",https://tabelog.com/tokyo/A1301/A130103/13157299/,新橋駅
724,"

焼肉とワイン 鳶助

","
焼肉、ワインバー、イタリアン
","
東京都墨田区錦糸4-14-9 チグサビル 205






","

050-5589-9934

","￥3,000","￥3,999","
水曜日、年末年始（12/31〜1/5）
","

【月～土】17:00～23:00【日・祝日】15:00～22:00
日曜営業
",https://tabelog.com/tokyo/A1312/A131201/13276294/,錦糸町駅
725,"

芦屋 お好み焼き ねぎ焼き 寛 中目黒店

","
お好み焼き、居酒屋、創作料理
","
東京都目黒区東山1-3-3 アルス中目黒 1F






","

050-5890-8168

","￥4,000","￥4,999","
月曜日　※3/20日(月),27(月),4/3(月)は営業いたします。
","

平日ディナー　17:00～24:00 (L.O.23:30)土曜、祝日　　12:00〜24:00 (L.O.23:30)日曜日　　　　12:00〜22:00 (L.O.21:30)3/22~24、27~31は以下で営業いたします。ランチ：12:00～15:00 ディナー：17:00〜24:00
日曜営業
",https://tabelog.com/tokyo/A1317/A131701/13257649/,中目黒駅
